genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dscam	0.22274691567744	6.76597155566472	3.53099700370653	0.00292758682613328	0.30423957517858	-1.61347947150805
Dok5	0.318779464169042	4.01098425167573	3.48234614016473	0.00323851300722158	0.311814349721865	-1.62434631584666
Prss53	0.458585693174449	3.64766577087239	3.50372477150672	0.0030980102779325	0.30423957517858	-1.63649069031214
Hapln1	-0.345421829718738	5.02122830814203	-3.4604337389143	0.00338913395770778	0.320174439380848	-1.64348325167613
Pdia6	0.221124373686653	7.0393353643871	3.518885075012	0.00300208449354281	0.30423957517858	-1.65181375407733
Clk4	-0.222670215049126	5.5288112049642	-3.46845145359366	0.00333322694362509	0.318118501286324	-1.65454429283296
Ssbp3	0.194891937010312	6.632809072696	3.50384134119789	0.00309726111975118	0.30423957517858	-1.65819890418847
Htr2a	0.507309182470908	3.38625207275212	3.51936707482229	0.00299908389928686	0.30423957517858	-1.66415302510273
Gfap	-0.320597960242482	9.86900797852883	-3.63232579021402	0.00290657650094521	0.30423957517858	-1.66509700617893
Leprot	-0.290630527152351	4.82928138967082	-3.43338156525622	0.0035847668514499	0.323824735534666	-1.68743982426573
Gpm6b	-0.1715580762363	9.3386729008061	-3.53246679341896	0.00291867328599557	0.30423957517858	-1.70622437813596
Sar1b	-0.312843440586418	5.16186281526037	-3.42552610317405	0.00364365804781472	0.3249426193461	-1.71355046873364
Mark1	0.240758713849598	6.24905095438687	3.45654003542683	0.00341662133309553	0.320174439380848	-1.72605533420153
Fnbp1l	0.434617368522382	5.5262581526336	3.49485136950882	0.00379301121474274	0.32663987295976	-1.73271495087716
Pon2	-0.278413700642049	5.98256324228359	-3.43115531083032	0.00360135965070723	0.323824735534666	-1.75309960816248
Sstr1	0.391824566579793	5.55120594843095	3.44750942691674	0.00383362111795519	0.32663987295976	-1.76337521130037
Exog	0.414352869928746	4.03747734485005	3.38766071279473	0.00394134456360457	0.32663987295976	-1.78187291442219
Irs2	0.188428242321596	7.59529959016762	3.45282535680935	0.0034430523352536	0.320174439380848	-1.80471502965581
Cops7b	0.279399697720567	4.93100542570828	3.37028576432498	0.0040859345124208	0.32663987295976	-1.80727580822432
Lasp1	0.167852542069894	7.70682513488237	3.44846944953292	0.00347430599410366	0.320342789964812	-1.8173307722352
Erbb3	-0.26369834533879	5.8508071116398	-3.39110986619232	0.00391325365376219	0.32663987295976	-1.82024785688487
Kcnk9	0.338851102526582	5.14156478815595	3.36846238879024	0.00410141107945263	0.32663987295976	-1.82127709236541
Gjc2	-0.230401347394571	5.55800846214285	-3.37828549901686	0.00401871807442288	0.32663987295976	-1.82514432146174
Efna5	0.778070884944973	2.37668915833948	3.64501982741951	0.00231098795943086	0.285722147711452	-1.83122581745015
Gpld1	-0.250603475316804	5.54597872812695	-3.37218471225758	0.00406987829720028	0.32663987295976	-1.8355499928336
Shroom3	0.366440259062235	4.44265434967203	3.33621465434603	0.00438496812226034	0.331308702570781	-1.85720001394691
Otud7b	-0.225054632455784	7.22100493245545	-3.41553566334141	0.00371995080143377	0.326395683222576	-1.859281977728
R3hdm1	0.219781797501078	8.20964134846022	3.43115664442888	0.00360134968818287	0.323824735534666	-1.86931649776251
Gga1	0.204230152579902	6.43674159411788	3.38736971093394	0.00394372373591196	0.32663987295976	-1.8705030691893
Isoc1	-0.340824731816361	5.86931188420291	-3.37647018054619	0.00421637794724258	0.329727519687887	-1.87763607766081
Lrrc8d	-0.190217307094073	6.32544662813066	-3.37575545313051	0.0040398564580628	0.32663987295976	-1.88269110985688
Apba3	0.316087954413476	4.35306775942499	3.32080361409846	0.00452728119618026	0.334487548345222	-1.88471919451195
Oxnad1	-0.421154865792828	3.74180963172658	-3.34569389579707	0.00429965074348056	0.331308702570781	-1.8914776503881
Neurl1B	0.384928812704644	5.11790985864064	3.33875380381036	0.00455001444440191	0.334487548345222	-1.90250589328964
Zeb2	-0.194733377201354	8.6660155500882	-3.41997748986087	0.00368583572919613	0.326031648241088	-1.9053264909851
Mog	-0.32175607892872	6.58317459062069	-3.39754711588192	0.00418657039989638	0.329727519687887	-1.90984334888183
Csrp1	-0.278922375022147	7.94127194577483	-3.41833913621796	0.00393280728950111	0.32663987295976	-1.92369313436453
Pdzd2	0.199580568074215	7.02175087085724	3.37017947501866	0.00408683508397118	0.32663987295976	-1.93932274403326
Qdpr	-0.288356010180534	7.91557256605346	-3.40778460423897	0.00411302045914403	0.32663987295976	-1.95840326895495
Map6d1	-0.257565674131691	5.60081312263977	-3.30842202575983	0.00464493649342257	0.336912726989584	-1.95858524607029
Tfrc	-0.280825380611566	7.06155790783721	-3.35686228762947	0.0043439620294506	0.331308702570781	-1.98602540142877
Rasgrp4	1.29828482353683	0.965212829013457	4.24690512610481	0.0006683520573205	0.19135974693808	-2.00278593325345
Gpr137b	-0.499126753767741	3.12781451055342	-3.35211279955835	0.00424281734892502	0.329727519687887	-2.00739180682666
Gmeb2	0.282541736190465	4.10671463938524	3.25276771148015	0.00521240396637599	0.347919970270987	-2.00773729701411
St6galnac3	-0.282121987522371	4.99573058613742	-3.2567533783498	0.00516957332749274	0.34719109755013	-2.01400301718155
Fkbp4	0.185296806360682	7.31496011620951	3.33856252486019	0.00436368067718578	0.331308702570781	-2.01543462280129
Atm	-0.268990126732342	6.45309269732847	-3.29561785832991	0.00476980203730861	0.3414174089863	-2.04380164430829
Tjap1	0.242016990225435	5.68963751651236	3.26772444331122	0.00505347023435521	0.346225155252512	-2.04545459121462
Cacna1g	0.236364905271377	7.50472951376845	3.32410731827907	0.00449639159150183	0.334487548345222	-2.05192380338922
Zfp641	-0.499868587482543	3.46182059496437	-3.26776238248974	0.00505307325726979	0.346225155252512	-2.0608148380234
Ctsl1	-0.231191431806169	6.20716057104263	-3.27543509303371	0.00497342213685645	0.346225155252512	-2.06545399256894
Gna12	-0.172895665650119	8.34243346421967	-3.33059656678752	0.00443632570427795	0.33287740456927	-2.06923315884602
Adcyap1	0.402403961506379	3.75103611040387	3.22800029937277	0.00548655243756507	0.358748199638703	-2.07117382008912
Mpp2	0.199992234633728	7.22830041157228	3.30386854448673	0.00468896538371836	0.337853929634806	-2.07862976004855
Parm1	0.498970848543691	4.74008977867218	3.27156045044853	0.0059695984753009	0.362406152582465	-2.09143785357691
RGD1563348	-0.360471343815111	4.09475350370358	-3.19932732977105	0.00582180208237036	0.362406152582465	-2.10170988959587
Shc3	0.285933607042107	6.66584052824435	3.28126051195961	0.00507117391876352	0.346225155252512	-2.10995086374863
Pan2	0.229629826763611	5.08765575928377	3.20292411965137	0.00577866068779225	0.362406152582465	-2.12165020013592
Gpr37	-0.217213192362376	7.38640300430294	-3.28223415929651	0.00490388203897567	0.346225155252512	-2.12580600467417
Acbd5	-0.234092740769011	5.72884194897006	-3.22192794931646	0.00555591808174378	0.358748199638703	-2.13034455936415
Cacng2	0.257053642353254	5.18179740307567	3.198937451771	0.00582649753694581	0.362406152582465	-2.13571022663315
Mapk11	0.422557954740875	5.1570340097337	3.24204382217643	0.00604402048050395	0.362406152582465	-2.13600311003185
Rims4	0.313308081049215	4.79425162440995	3.18173525746296	0.00603744075539057	0.362406152582465	-2.14221055203464
Sema4f	0.198381474077602	6.39415151008248	3.23904707932936	0.00536255509104986	0.353603632670439	-2.15165162967087
Fam210b	-0.296524791948901	4.28356586762703	-3.16246413666051	0.00628272790605413	0.363596168180154	-2.16017197147282
Ifit2	-0.563246825196642	3.01279854110394	-3.26108990348372	0.00512336856577706	0.346225155252512	-2.17167672306614
Tmem88b	-0.376240486857366	5.20182171012108	-3.19350909150452	0.00620504421309419	0.362406152582465	-2.17439497352994
Gemin2	-0.452561585855847	3.49853974941284	-3.18972491730686	0.00593854406418014	0.362406152582465	-2.17443851881785
Spn	-0.771300862078172	1.7166155260762	-3.68860965393379	0.00211132292364739	0.270249334226866	-2.17613967846864
Slc46a3	-0.535152109171723	2.68727265696472	-3.3096931925856	0.00463271871070295	0.336912726989584	-2.19746225401532
