"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000181467",614.694820343917,-1.26188940273602,0.118727305732074,-10.628468278255,2.19690930529499e-26,1.12342618841768e-23
"ENSG00000183044",534.268135899311,1.0062862582165,0.0951354084830135,10.5774103907503,3.79296699685912e-26,1.8770292483489e-23
"ENSG00000162692",501.804184764929,-3.53333363622938,0.33432167478372,-10.5686645609058,4.16381429993623e-26,1.9961585992288e-23
"ENSG00000163884",574.142864572114,4.53724575183317,0.431686933143225,10.5105005583475,7.7282259534497e-26,3.59268831369309e-23
"ENSG00000273259",2004.06797116422,3.36549829706487,0.323425784549493,10.4057822778501,2.33331671768522e-25,1.05280622841203e-22
"ENSG00000110756",990.645486606917,1.49026631197889,0.147034077372003,10.1355164640401,3.84337164555781e-24,1.68460469755721e-21
"ENSG00000119138",1717.46623459215,2.1278754711662,0.211771523708849,10.0479773385003,9.37723131188655e-24,3.99600293210143e-21
"ENSG00000077684",1762.18309743193,1.18958341875538,0.118712628997025,10.0206981245879,1.23626580869771e-23,5.12582534357611e-21
"ENSG00000103502",3348.30312527958,0.839753190615665,0.0839424644236745,10.0039139472635,1.46490175292238e-23,5.91396257673217e-21
"ENSG00000166482",27413.4128904298,-0.949287525114028,0.0953712355353371,-9.95360414264841,2.43211869908607e-23,9.56695716991778e-21
"ENSG00000185950",2275.98209759502,2.16650969184437,0.219960930787699,9.84952047659517,6.88717749585074e-23,2.64140474909615e-20
"ENSG00000165995",513.109573436338,3.00661377770504,0.305899153259712,9.82877443649669,8.46425286309732e-23,3.16707568714088e-20
"ENSG00000103196",3096.15933899728,2.62603413398091,0.267444466153217,9.81898848666576,9.32747411594171e-23,3.40697096220623e-20
"ENSG00000211445",12537.1799334237,3.77018283681169,0.385566267211885,9.7783005346259,1.39533710609596e-22,4.97810849874842e-20
"ENSG00000157510",502.245335458258,1.82248134991086,0.188087064598964,9.68956240449989,3.33956428668654e-22,1.16436944822859e-19
"ENSG00000221869",1996.6227385359,1.51593633967709,0.157733402465765,9.61075026582346,7.20222578251215e-22,2.45531879398931e-19
"ENSG00000197043",14235.8891385396,0.954687034787264,0.0993763036997913,9.60678752624272,7.48477597286336e-22,2.49617278694993e-19
"ENSG00000139289",2896.74376144142,-1.07092674043799,0.11215087574425,-9.54898241615285,1.30976409635658e-21,4.27512574515029e-19
"ENSG00000131389",738.395170724894,-1.96399623593045,0.205870139476305,-9.53997622446116,1.42865064139566e-21,4.5660269770106e-19
"ENSG00000158246",70.9156124341666,2.34457681548742,0.246791862238445,9.50021931121107,2.09448720834315e-21,6.55745474759025e-19
"ENSG00000145777",152.344620594276,-2.71541789405861,0.28851332581966,-9.41175901093709,4.87902293812479e-21,1.49698181787545e-18
"ENSG00000181061",2495.79383552303,1.26971880200892,0.135482316303383,9.37184155580621,7.12778606974726e-21,2.14406600188221e-18
"ENSG00000157214",3042.42442776058,1.99782068360084,0.213879636099431,9.34086442279185,9.55507888812946e-21,2.81893202351527e-18
"ENSG00000108821",102624.279264829,-1.27736599026778,0.13739449044839,-9.2970685076168,1.44371201643176e-20,4.10147889705177e-18
"ENSG00000151726",1467.32301351221,1.57907014957767,0.169817288263257,9.29864188579986,1.4225101607853e-20,4.10147889705177e-18
"ENSG00000124766",1291.40790053461,-2.33654823415135,0.251612330204519,-9.28630259197601,1.59741123919012e-20,4.45561560371192e-18
"ENSG00000141401",619.513260387526,2.19485412885141,0.237401358423403,9.24533095946702,2.34513816912901e-20,6.42442225939431e-18
"ENSG00000112837",2671.19815511368,-1.63666384776085,0.177536471160614,-9.21874720761002,3.00591541729361e-20,7.99500845421119e-18
"ENSG00000157514",2226.72449000203,3.34428299139616,0.362793273804741,9.2181504809157,3.02268750631803e-20,7.99500845421119e-18
"ENSG00000003402",3368.72335143759,1.16249955503505,0.12613859325296,9.21604978346122,3.08247090040442e-20,8.01494679374647e-18
"ENSG00000169715",553.702542171806,2.16215501121367,0.235809507582836,9.16907478997276,4.77096139572162e-20,1.20059940916951e-17
"ENSG00000196975",4931.1015623731,1.12894747874517,0.12312645581456,9.16900816543823,4.77391069417509e-20,1.20059940916951e-17
